meterName;armSkuName;tier;size;family;MemoryPreservingMaintenanceSupported;HyperVGenerations;CpuArchitectureType;LowPriorityCapable;PremiumIO;ACUs;EphemeralOSDiskSupported;EncryptionAtHostSupported;CapacityReservationSupported;AcceleratedNetworkingEnabled;RdmaEnabled;MaxNetworkInterfaces;UltraSSDAvailable;unit;os;unitPricePerUnit
D16 v5 Low Priority;Standard_D16_v5;Standard;D16_v5;standardDv5Family;TRUE;V1,V2;x64;TRUE;FALSE;null;FALSE;TRUE;TRUE;TRUE;FALSE;8;TRUE;100;Linux;0,12363
DC32s_v3;Standard_DC32s_v3;Standard;DC32s_v3;standardDCSv3Family;TRUE;V2;x64;TRUE;TRUE;null;FALSE;TRUE;FALSE;TRUE;FALSE;8;FALSE;10;Linux;2,4752
EC20as_v5 Low Priority;Standard_EC20as_v5;Standard;EC20as_v5;standardECASv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;FALSE;TRUE;TRUE;FALSE;FALSE;8;TRUE;100;Windows;0,19136
DC16ads v5 Low Priority;Standard_DC16ads_v5;Standard;DC16ads_v5;standardDCADSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;TRUE;TRUE;FALSE;FALSE;FALSE;4;TRUE;100;Windows;0,49998
D2s v4 Low Priority;Standard_D2s_v4;Standard;D2s_v4;standardDSv4Family;TRUE;V1,V2;x64;TRUE;TRUE;195;FALSE;TRUE;TRUE;TRUE;FALSE;3;TRUE;1000;Linux;0,01547
E8ps v5 Low Priority;Standard_E8ps_v5;Standard;E8ps_v5;standardEPSv5Family;TRUE;V2;Arm64;TRUE;TRUE;null;FALSE;TRUE;FALSE;TRUE;FALSE;4;TRUE;1000;Linux;0,06188
E32-8as_v4;Standard_E32-8as_v4;Standard;E32-8as_v4;standardEASv4Family;TRUE;V1,V2;x64;TRUE;TRUE;230;TRUE;TRUE;TRUE;TRUE;FALSE;8;TRUE;10;Windows;1,547
M128ds_v2 Low Priority;Standard_M128ds_v2;Standard;M128ds_v2;standardMDSMediumMemoryv2Family;FALSE;V2;x64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;8;TRUE;10;Windows;6,4181
E20 v5 Low Priority;Standard_E20_v5;Standard;E20_v5;standardEv5Family;TRUE;V1,V2;x64;TRUE;FALSE;null;FALSE;TRUE;TRUE;TRUE;FALSE;8;TRUE;100;Windows;0,6409
NC48ads_A100_v4;Standard_NC48ads_A100_v4;Standard;NC48ads_A100_v4;StandardNCADSA100v4Family;FALSE;V2;x64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;4;TRUE;10;Linux;6,5949
D14 v2/DS14 v2 - Expired;Standard_D14_v2_Promo;Standard;D14_v2_Promo;standardDv2PromoFamily;TRUE;V1;x64;FALSE;FALSE;210;FALSE;FALSE;FALSE;TRUE;FALSE;8;null;10;Windows;1,4573
D32d v5 Low Priority;Standard_D32d_v5;Standard;D32d_v5;standardDDv5Family;TRUE;V1,V2;x64;TRUE;FALSE;null;TRUE;TRUE;TRUE;TRUE;FALSE;8;TRUE;100;Linux;0,29432
